id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Learning, 0.509698
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Change, 0.497068
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Bad, 0.496903
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, English-language films, 0.92686
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Carlos Sainz, 0.892281
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, United States, 0.717529
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Formula One, 0.690727
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Smoothing, 0.610542
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Confidence, 0.610332
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Carlos Sainz  Jr., 0.604173
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, The A-Team, 0.594303
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, TheStart, 0.590098
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, People from Madrid, 0.587053
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Race, 0.574801
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Confidence interval, 0.569008
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Managing director, 0.563171
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, 1990 World Rally Championship season, 0.552875
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Sex and the City, 0.975364
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Kim Cattrall, 0.732861
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Samantha Jones, 0.491452
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, English-language films, 0.415047
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, 1965 births, 0.365201
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Academy Award for Best Actress, 0.354482
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, ITV, 0.343839
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Samantha Jones, 0.337755
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Relationship, 0.335313
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Piers Morgan, 0.328582
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, CITY-TV, 0.326909
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Film, 0.323684
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Getty Images, 0.323169
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, 1943 births, 0.323039
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Money, 0.319807
