id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Pyongyang, 0.517418
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Field goal, 0.509863
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Goalkeeper, 0.509258
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Circle, 0.505206
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Goal, 0.504401
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Taliban, 0.498627
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, United States, 0.498057
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Hanja, 0.497753
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Incheon International Airport, 0.495505
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Sri Lanka, 0.494772
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Incheon, 0.493298
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Pakistan, 0.965952
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Supreme Court of the United States, 0.903877
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Benazir Bhutto, 0.872782
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, United States Constitution, 0.819029
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Zulfikar Ali Bhutto, 0.759647
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Pakistan Peoples Party, 0.723456
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, President of Pakistan, 0.715739
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, United States, 0.65358
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Muhammad Zia-ul-Haq, 0.645047
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Nawaz Sharif, 0.631101
